Location	Group Node	Application	Propeller	Reverse
FP	129	5	0	R	D
FS	129	6	1	L	E
AS	129	7	2	R	D
AP	129	8	3	L	E
FPV	129	9	6	R	E
FSV	129	10	4	L	D
AV	129	20	5	L	E
