Thruster 4 Group ID		129	129	129	129	129	129	129	129	129	129	129	129	129
Thruster 4 Node ID		8	8	8	8	8	8	8	8	8	8	8	8	8
Thruster 4 Application ID		3	3	3	3	3	3	3	3	3	3	3	3	3
Thruster 4 Propeller		L	L	L	L	L	L	L	L	L	L	L	L	L
Thruster 4 Reverse		E	E	E	E	E	E	E	E	E	E	E	E	E
Thruster 4 Max Power		400	400	400	400	400	400	400	400	400	400	400	400	400
Thruster 4 Notes														
														
Thruster 5 Serial Number														
Thruster 5 Location		 Vertical Forward Port	 Vertical Forward Port	Forward Vertical	Forward Vertical	Forward Vertical	Forward Vertical	Forward Vertical	 Vertical Forward Port	Forward Vertical	Forward Vertical	Forward Vertical	Forward Vertical	Forward Vertical
Thruster 5 Group ID		129	129	129	129	129	129	129	129	129	129	129	129	129
Thruster 5 Node ID		9	9	9	9	9	9	9	9	9	9	9	9	9
Thruster 5 Application ID		6	6	4	4	4	4	4	6	4	4	4	4	4
Thruster 5 Propeller		R	R	R	R	R	R	R	R	R	R	R	R	R
Thruster 5 Reverse		E	D	D	D	D	D	D	E	D	D	D	D	D
Thruster 5 Max Power		400	400	400	400	400	400	400	400	400	400	400	400	400
Thruster 5 Notes														
														
Thruster 6 Serial Number														
Thruster 6 Location		Vertical Forward Starboard	Vertical Forward Starboard	Aft Vertical	Aft Vertical	Aft Vertical	Aft Vertical	Aft Vertical	Vertical Forward Starboard	Aft Vertical	Aft Vertical	Aft Vertical	Aft Vertical	Aft Vertical
Thruster 6 Group ID		129	129	129	129	129	129	129	129	129	129	129	129	129
Thruster 6 Node ID		10	10	10	10	10	10	10	10	10	10	10	10	10
Thruster 6 Application ID		4	4	5	5	5	5	5	4	5	5	5	5	5
Thruster 6 Propeller		L	L	L	L	L	L	L	L	L	L	L	L	L
Thruster 6 Reverse		D	D	E	E	E	E	E	D	E	E	E	E	E
Thruster 6 Max Power		400	400	400	400	400	400	400	400	400	400	400	400	400
Thruster 6 Notes														
														
Thruster 7 Serial Number														
Thruster 7 Location		Vertical Aft	Vertical Aft						Vertical Aft					
Thruster 7 Group ID		129	129						129					
Thruster 7 Node ID		20	20						20					
Thruster 7 Application ID		5	5						5					
Thruster 7 Propeller		L	L						L					
Thruster 7 Reverse		E	E						E					
Thruster 7 Max Power		400	400						400					
